Column 1
flags,long,long,long,
0x0,63279,751,3312,
0x0,63280,752,3129,
0x0,63291,753,3110,
0x0,63298,754,3112,
0x0,63302,755,3098,
0x0,63303,756,3113,
0x0,63304,757,3114,
0x0,63309,758,3115,
0x0,63310,759,3116,
0x0,63320,760,3117,
0x0,63312,761,3118,
0x0,63324,762,3119,
0x0,63325,763,3120,
0x0,63326,764,3122,
0x0,63327,765,3121,
0x0,63328,766,3123,
0x0,63329,767,3124,
0x0,63330,768,3125,
0x0,63331,769,3126,
0x0,63332,770,3127,
0x0,63333,771,3128,
0x0,63334,772,3312,
0x0,63335,773,3129,
0x0,64199,791,3129,
0x0,65243,811,3117,
0x0,67598,831,3122,
0x1,68164,851,3118,
0x0,70937,871,3119,
0x0,71013,891,3112,
0x0,70947,911,3312,
Created: 03.03.2012 18:36:48
