str;long;
+6 Stärke;108;xxxx
+7 Stärke;109;xxxx
+1 Verteidigungswertung;110;xxxx
+2 Verteidigungswertung;111;xxxx
+3 Verteidigungswertung;112;xxxx
+4 Verteidigungswertung;113;xxxx
+5 Verteidigungswertung;114;xxxx
+6 Verteidigungswertung;115;xxxx
+7 Verteidigungswertung;116;xxxx
+4 Schaden;117;xxxx
+5 Schaden;118;xxxx
+6 Schaden;119;xxxx
+7 Schaden;120;xxxx
+20 Rüstung;121;xxxx
+24 Rüstung;122;xxxx
+28 Rüstung;123;xxxx
Totem der Flammenzunge 1;124;xxxx
+1 Schwertfertigkeit;125;xxxx
+2 Schwertfertigkeit;126;xxxx
+3 Schwertfertigkeit;127;xxxx
+4 Schwertfertigkeit;128;xxxx
+5 Schwertfertigkeit;129;xxxx
+6 Schwertfertigkeit;130;xxxx
+7 Schwertfertigkeit;131;xxxx
+1 Zweihandschwertfertigkeit;132;xxxx
+2 Zweihandschwertfertigkeit;133;xxxx
+3 Zweihandschwertfertigkeit;134;xxxx
+4 Zweihandschwertfertigkeit;135;xxxx
+5 Zweihandschwertfertigkeit;136;xxxx
+6 Zweihandschwertfertigkeit;137;xxxx
+7 Zweihandschwertfertigkeit;138;xxxx
+1 Streitkolbenfertigkeit;139;xxxx
+2 Streitkolbenfertigkeit;140;xxxx
+3 Streitkolbenfertigkeit;141;xxxx
+4 Streitkolbenfertigkeit;142;xxxx
+5 Streitkolbenfertigkeit;143;xxxx
+6 Streitkolbenfertigkeit;144;xxxx
+7 Streitkolbenfertigkeit;145;xxxx
+1 Zweihandstreitkolbenfertigkeit;146;xxxx
+2 Zweihandstreitkolbenfertigkeit;147;xxxx
+3 Zweihandstreitkolbenfertigkeit;148;xxxx
+4 Zweihandstreitkolbenfertigkeit;149;xxxx
+5 Zweihandstreitkolbenfertigkeit;150;xxxx
+6 Zweihandstreitkolbenfertigkeit;151;xxxx
+7 Zweihandstreitkolbenfertigkeit;152;xxxx
+1 Axtfertigkeit;153;xxxx
+2 Axtfertigkeit;154;xxxx
+3 Axtfertigkeit;155;xxxx
+4 Axtfertigkeit;156;xxxx
+5 Axtfertigkeit;157;xxxx
+6 Axtfertigkeit;158;xxxx
+7 Axtfertigkeit;159;xxxx
+1 Zweihandaxtfertigkeit;160;xxxx
+2 Zweihandaxtfertigkeit;161;xxxx
+3 Zweihandaxtfertigkeit;162;xxxx
+4 Zweihandaxtfertigkeit;163;xxxx
+5 Zweihandaxtfertigkeit;164;xxxx
+6 Zweihandaxtfertigkeit;165;xxxx
+7 Zweihandaxtfertigkeit;166;xxxx
+1 Dolchfertigkeit;167;xxxx
+2 Dolchfertigkeit;168;xxxx
+3 Dolchfertigkeit;169;xxxx
+4 Dolchfertigkeit;170;xxxx
+5 Dolchfertigkeit;171;xxxx
+6 Dolchfertigkeit;172;xxxx
+7 Dolchfertigkeit;173;xxxx
+1 Schusswaffenfertigkeit;174;xxxx
+2 Schusswaffenfertigkeit;175;xxxx
+3 Schusswaffenfertigkeit;176;xxxx
+4 Schusswaffenfertigkeit;177;xxxx
+5 Schusswaffenfertigkeit;178;xxxx
+6 Schusswaffenfertigkeit;179;xxxx
+7 Schusswaffenfertigkeit;180;xxxx
+1 Bogenfertigkeit;181;xxxx
+2 Bogenfertigkeit;182;xxxx
+3 Bogenfertigkeit;183;xxxx
+4 Bogenfertigkeit;184;xxxx
+5 Bogenfertigkeit;185;xxxx
+6 Bogenfertigkeit;186;xxxx
+7 Bogenfertigkeit;187;xxxx
+2 Wildtiertötung;188;xxxx
+4 Wildtiertötung;189;xxxx
+6 Wildtiertötung;190;xxxx
+8 Wildtiertötung;191;xxxx
+10 Wildtiertötung;192;xxxx
+12 Wildtiertötung;193;xxxx
+14 Wildtiertötung;194;xxxx
+14 Kritische Trefferwertung;195;xxxx
+28 Kritische Trefferwertung;196;xxxx
+42 Kritische Trefferwertung;197;xxxx
+56 Kritische Trefferwertung;198;xxxx
10% bei getroffen werden: Schattenblitz (10 Schaden);199;xxxx
10% bei getroffen werden: Schattenblitz (20 Schaden);200;xxxx
10% bei getroffen werden: Schattenblitz (30 Schaden);201;xxxx
10% bei getroffen werden: Schattenblitz (40 Schaden);202;xxxx
10% bei getroffen werden: Schattenblitz (50 Schaden);203;xxxx
10% bei getroffen werden: Schattenblitz (60 Schaden);204;xxxx
10% bei getroffen werden: Schattenblitz (70 Schaden);205;xxxx
+1 Zaubermacht;206;xxxx
+2 Zaubermacht;207;xxxx
+4 Zaubermacht;208;xxxx
+5 Zaubermacht;209;xxxx
+6 Zaubermacht;210;xxxx
+7 Zaubermacht;211;xxxx
+8 Zaubermacht;212;xxxx
+1 Feuerzauberschaden;213;xxxx
+3 Feuerzauberschaden;214;xxxx
+4 Feuerzauberschaden;215;xxxx
+6 Feuerzauberschaden;216;xxxx
+7 Feuerzauberschaden;217;xxxx
+9 Feuerzauberschaden;218;xxxx
+10 Feuerzauberschaden;219;xxxx
+1 Naturzauberschaden;220;xxxx
+3 Naturzauberschaden;221;xxxx
+4 Naturzauberschaden;222;xxxx
+6 Naturzauberschaden;223;xxxx
+7 Naturzauberschaden;224;xxxx
+9 Naturzauberschaden;225;xxxx
+10 Naturzauberschaden;226;xxxx
+1 Frostzauberschaden;227;xxxx
+3 Frostzauberschaden;228;xxxx
+4 Frostzauberschaden;229;xxxx
+6 Frostzauberschaden;230;xxxx
+7 Frostzauberschaden;231;xxxx
+9 Frostzauberschaden;232;xxxx
+10 Frostzauberschaden;233;xxxx
+1 Schattenzauberschaden;234;xxxx
+3 Schattenzauberschaden;235;xxxx
+4 Schattenzauberschaden;236;xxxx
+6 Schattenzauberschaden;237;xxxx
+7 Schattenzauberschaden;238;xxxx
+9 Schattenzauberschaden;239;xxxx
+10 Schattenzauberschaden;240;xxxx
+2 Waffenschaden;241;xxxx
+15 Gesundheit;242;xxxx
+1 Willenskraft;243;xxxx
+4 Intelligenz;244;xxxx
+5 Rüstung;245;xxxx
+20 Mana;246;xxxx
+1 Beweglichkeit;247;xxxx
+1 Stärke;248;xxxx
+2 Wildtiertötung;249;xxxx
+1 Waffenschaden;250;xxxx
+1 Intelligenz;251;xxxx
+6 Willenskraft;252;xxxx
Absorption (50);253;xxxx
+25 Gesundheit;254;xxxx
+3 Willenskraft;255;xxxx
+5 Feuerwiderstand;256;xxxx
+10 Rüstung;257;xxxx
Angelköder (+25 Angelfertigkeit);263;xxxx
Angelköder (+50 Angelfertigkeit);264;xxxx
Angelköder (+75 Angelfertigkeit);265;xxxx
Angelköder (+100 Angelfertigkeit);266;xxxx
Windzorn 1;283;xxxx
Windzorn 2;284;xxxx
Totem der Flammenzunge 2;285;xxxx
+2 Waffenfeuerschaden;286;xxxx
+4 Waffenfeuerschaden;287;xxxx
+6 Waffenfeuerschaden;288;xxxx
+8 Waffenfeuerschaden;289;xxxx
+10 Waffenfeuerschaden;290;xxxx
+12 Waffenfeuerschaden;291;xxxx
+14 Waffenfeuerschaden;292;xxxx
Feuerkugel;303;xxxx
Sofort wirkendes Gift;323;xxxx
Sofort wirkendes Gift II;324;xxxx
Sofort wirkendes Gift III;325;xxxx
+8 Beweglichkeit;343;xxxx
+32 Rüstung;344;xxxx
+40 Rüstung;345;xxxx
+36 Rüstung;346;xxxx
+44 Rüstung;347;xxxx
+48 Rüstung;348;xxxx
+9 Beweglichkeit;349;xxxx
+8 Intelligenz;350;xxxx
+8 Willenskraft;351;xxxx
+8 Stärke;352;xxxx
+8 Ausdauer;353;xxxx
+9 Intelligenz;354;xxxx
+9 Willenskraft;355;xxxx
+9 Ausdauer;356;xxxx
+9 Stärke;357;xxxx
+10 Beweglichkeit;358;xxxx
+10 Intelligenz;359;xxxx
+10 Willenskraft;360;xxxx
+10 Ausdauer;361;xxxx
+10 Stärke;362;xxxx
+11 Beweglichkeit;363;xxxx
+11 Intelligenz;364;xxxx
+11 Willenskraft;365;xxxx
+11 Ausdauer;366;xxxx
+11 Stärke;367;xxxx
+12 Beweglichkeit;368;xxxx
+12 Intelligenz;369;xxxx
+12 Willenskraft;370;xxxx
+12 Ausdauer;371;xxxx
+12 Stärke;372;xxxx
+52 Rüstung;383;xxxx
+56 Rüstung;384;xxxx
+60 Rüstung;385;xxxx
+16 Rüstung;386;xxxx
+17 Rüstung;387;xxxx
+18 Rüstung;388;xxxx
+19 Rüstung;389;xxxx
+13 Beweglichkeit;403;xxxx
+14 Beweglichkeit;404;xxxx
+13 Intelligenz;405;xxxx
+14 Intelligenz;406;xxxx
+13 Willenskraft;407;xxxx
+14 Willenskraft;408;xxxx
+13 Ausdauer;409;xxxx
+13 Stärke;410;xxxx
+14 Ausdauer;411;xxxx
+14 Stärke;412;xxxx
+1 Zaubermacht;423;xxxx
+2 Zaubermacht;424;xxxx
Black Temple Dummy;425;xxxx
+5 Zaubermacht;426;xxxx
+6 Zaubermacht;427;xxxx
+7 Zaubermacht;428;xxxx
+8 Zaubermacht;429;xxxx
+9 Zaubermacht;430;xxxx
+11 Zaubermacht;431;xxxx
+12 Zaubermacht;432;xxxx
+11 Feuerzauberschaden;433;xxxx
+13 Feuerzauberschaden;434;xxxx
+14 Feuerzauberschaden;435;xxxx
+70 Kritische Trefferwertung;436;xxxx
+11 Frostzauberschaden;437;xxxx
+13 Frostzauberschaden;438;xxxx
+14 Frostzauberschaden;439;xxxx
+9 Zaubermacht;440;xxxx
+11 Zaubermacht;441;xxxx
+12 Zaubermacht;442;xxxx
+11 Naturzauberschaden;443;xxxx
+13 Naturzauberschaden;444;xxxx
+14 Naturzauberschaden;445;xxxx
+11 Schattenzauberschaden;446;xxxx
+13 Schattenzauberschaden;447;xxxx
+14 Schattenzauberschaden;448;xxxx
Mithrilstachel (16-20);463;xxxx
+4% Reittiertempo;464;xxxx
Geschärft (+6 Schaden);483;xxxx
Beschwert (+6 Schaden);484;xxxx
Felsbeißer 4;503;xxxx
+80 Felsbeißer;504;xxxx
Flammenzunge 4;523;xxxx
Frostbrand 3;524;xxxx
Windzorn 3;525;xxxx
Totem der Flammenzunge 3;543;xxxx
Totem des Windzorns 2;563;xxxx
Totem des Windzorns 3;564;xxxx
+1 Beweglichkeit / +1 Willenskraft;583;xxxx
+1 Beweglichkeit / +1 Intelligenz;584;xxxx
+1 Beweglichkeit / +1 Ausdauer;585;xxxx
+1 Beweglichkeit / +1 Stärke;586;xxxx
+1 Intelligenz / +1 Willenskraft;587;xxxx
+1 Intelligenz / +1 Ausdauer;588;xxxx
+1 Intelligenz / +1 Stärke;589;xxxx
+1 Willenskraft / +1 Ausdauer;590;xxxx
+1 Willenskraft / +1 Stärke;591;xxxx
+1 Ausdauer / +1 Stärke;592;xxxx
Verkrüppelungsgift II;603;xxxx
Sofort wirkendes Gift IV;623;xxxx
Sofort wirkendes Gift V;624;xxxx
Sofort wirkendes Gift VI;625;xxxx
Tödliches Gift III;626;xxxx
Tödliches Gift IV;627;xxxx
Gedankenbenebelndes Gift III;643;xxxx
Zielfernrohr (+5 Schaden);663;xxxx
Zielfernrohr (+7 Schaden);664;xxxx
Felsbeißer 6;683;xxxx
+15 Stärke;684;xxxx
Wundgift;703;xxxx
Wundgift II;704;xxxx
Wundgift III;705;xxxx
Wundgift IV;706;xxxx
+3 Intelligenz;723;xxxx
+3 Ausdauer;724;xxxx
+2 Verstohlenheit;743;xxxx
+20 Rüstung;744;xxxx
+5 Blockwertung;763;xxxx
+10 Rüstung;783;xxxx
Feurige Waffe;803;xxxx
+10 Schattenwiderstand;804;xxxx
+4 Waffenschaden;805;xxxx
+3 Stärke;823;xxxx
+30 Mana;843;xxxx
+2 Bergbau;844;xxxx
+2 Kräuterkunde;845;xxxx
+5 Angeln;846;xxxx
+1 alle Werte;847;xxxx
+30 Rüstung;848;xxxx
+3 Beweglichkeit;849;xxxx
+35 Gesundheit;850;xxxx
+5 Willenskraft;851;xxxx
+5 Ausdauer;852;xxxx
+6 Wildtiertötung;853;xxxx
+6 Elementartöter;854;xxxx
+5 Feuerwiderstand;855;xxxx
+5 Stärke;856;xxxx
+50 Mana;857;xxxx
+10 Blockwertung;863;xxxx
+4 Waffenschaden;864;xxxx
+5 Kürschnerei;865;xxxx
+2 alle Werte;866;xxxx
+15 Beweglichkeit;883;xxxx
+50 Rüstung;884;xxxx
+3 alle Widerstandsarten;903;xxxx
+5 Beweglichkeit;904;xxxx
+5 Intelligenz;905;xxxx
+5 Bergbau;906;xxxx
+7 Willenskraft;907;xxxx
+50 Gesundheit;908;xxxx
+5 Kräuterkunde;909;xxxx
Verstohlenheit erhöht;910;xxxx
Schwache Temposteigerung;911;xxxx
Dämonentöten;912;xxxx
+65 Mana;913;xxxx
+5 Verteidigungswertung;923;xxxx
+2 Verteidigungswertung;924;xxxx
+3 Verteidigungswertung;925;xxxx
+8 Frostwiderstand;926;xxxx
+7 Stärke;927;xxxx
+3 alle Werte;928;xxxx
+7 Ausdauer;929;xxxx
+2% Reittiertempo;930;xxxx
+10 Tempowertung;931;xxxx
+3 Waffenschaden;943;xxxx
+7 Waffenschaden;963;xxxx
+16 Beweglichkeit;983;xxxx
Gifthautsekret;1003;xxxx
Rückkopplung 1;1023;xxxx
+16 Stärke;1043;xxxx
+17 Stärke;1044;xxxx
+18 Stärke;1045;xxxx
+19 Stärke;1046;xxxx
+20 Stärke;1047;xxxx
+21 Stärke;1048;xxxx
+22 Stärke;1049;xxxx
+23 Stärke;1050;xxxx
+24 Stärke;1051;xxxx
+25 Stärke;1052;xxxx
+26 Stärke;1053;xxxx
+27 Stärke;1054;xxxx
+28 Stärke;1055;xxxx
+29 Stärke;1056;xxxx
+30 Stärke;1057;xxxx
+31 Stärke;1058;xxxx
+32 Stärke;1059;xxxx
+33 Stärke;1060;xxxx
+34 Stärke;1061;xxxx
+35 Stärke;1062;xxxx
+36 Stärke;1063;xxxx
+37 Stärke;1064;xxxx
+38 Stärke;1065;xxxx
+39 Stärke;1066;xxxx
+40 Stärke;1067;xxxx
+15 Ausdauer;1068;xxxx
+16 Ausdauer;1069;xxxx
+17 Ausdauer;1070;xxxx
+18 Ausdauer;1071;xxxx
+19 Ausdauer;1072;xxxx
+20 Ausdauer;1073;xxxx
+21 Ausdauer;1074;xxxx
+22 Ausdauer;1075;xxxx
+23 Ausdauer;1076;xxxx
+24 Ausdauer;1077;xxxx
+25 Ausdauer;1078;xxxx
+26 Ausdauer;1079;xxxx
+27 Ausdauer;1080;xxxx
+28 Ausdauer;1081;xxxx
+29 Ausdauer;1082;xxxx
+30 Ausdauer;1083;xxxx
+31 Ausdauer;1084;xxxx
+32 Ausdauer;1085;xxxx
+33 Ausdauer;1086;xxxx
+34 Ausdauer;1087;xxxx
+35 Ausdauer;1088;xxxx
+36 Ausdauer;1089;xxxx
+37 Ausdauer;1090;xxxx
+38 Ausdauer;1091;xxxx
+39 Ausdauer;1092;xxxx
+40 Ausdauer;1093;xxxx
+17 Beweglichkeit;1094;xxxx
+18 Beweglichkeit;1095;xxxx
+19 Beweglichkeit;1096;xxxx
+20 Beweglichkeit;1097;xxxx
+21 Beweglichkeit;1098;xxxx
+22 Beweglichkeit;1099;xxxx
+23 Beweglichkeit;1100;xxxx
+24 Beweglichkeit;1101;xxxx
+25 Beweglichkeit;1102;xxxx
+26 Beweglichkeit;1103;xxxx
+27 Beweglichkeit;1104;xxxx
+28 Beweglichkeit;1105;xxxx
+29 Beweglichkeit;1106;xxxx
+30 Beweglichkeit;1107;xxxx
+31 Beweglichkeit;1108;xxxx
+32 Beweglichkeit;1109;xxxx
+33 Beweglichkeit;1110;xxxx
+34 Beweglichkeit;1111;xxxx
+35 Beweglichkeit;1112;xxxx
+36 Beweglichkeit;1113;xxxx
+37 Beweglichkeit;1114;xxxx
+38 Beweglichkeit;1115;xxxx
+39 Beweglichkeit;1116;xxxx
+40 Beweglichkeit;1117;xxxx
+15 Intelligenz;1118;xxxx
+16 Intelligenz;1119;xxxx
+17 Intelligenz;1120;xxxx
+18 Intelligenz;1121;xxxx
+19 Intelligenz;1122;xxxx
+20 Intelligenz;1123;xxxx
+21 Intelligenz;1124;xxxx
+22 Intelligenz;1125;xxxx
+23 Intelligenz;1126;xxxx
+24 Intelligenz;1127;xxxx
+25 Intelligenz;1128;xxxx
+26 Intelligenz;1129;xxxx
+27 Intelligenz;1130;xxxx
+28 Intelligenz;1131;xxxx
+29 Intelligenz;1132;xxxx
+30 Intelligenz;1133;xxxx
+31 Intelligenz;1134;xxxx
+32 Intelligenz;1135;xxxx
+33 Intelligenz;1136;xxxx
+34 Intelligenz;1137;xxxx
+35 Intelligenz;1138;xxxx
+36 Intelligenz;1139;xxxx
+37 Intelligenz;1140;xxxx
+38 Intelligenz;1141;xxxx
+39 Intelligenz;1142;xxxx
+40 Intelligenz;1143;xxxx
+15 Willenskraft;1144;xxxx
+16 Willenskraft;1145;xxxx
+17 Willenskraft;1146;xxxx
+18 Willenskraft;1147;xxxx
+19 Willenskraft;1148;xxxx
+20 Willenskraft;1149;xxxx
+21 Willenskraft;1150;xxxx
+22 Willenskraft;1151;xxxx
+23 Willenskraft;1152;xxxx
+24 Willenskraft;1153;xxxx
+25 Willenskraft;1154;xxxx
+26 Willenskraft;1155;xxxx
+27 Willenskraft;1156;xxxx
+28 Willenskraft;1157;xxxx
+29 Willenskraft;1158;xxxx
+30 Willenskraft;1159;xxxx
+31 Willenskraft;1160;xxxx
+32 Willenskraft;1161;xxxx
+33 Willenskraft;1162;xxxx
+34 Willenskraft;1163;xxxx
+36 Willenskraft;1164;xxxx
+37 Willenskraft;1165;xxxx
+38 Willenskraft;1166;xxxx
+39 Willenskraft;1167;xxxx
+40 Willenskraft;1168;xxxx
+35 Willenskraft;1183;xxxx
+41 Stärke;1203;xxxx
+42 Stärke;1204;xxxx
+43 Stärke;1205;xxxx
+44 Stärke;1206;xxxx
+45 Stärke;1207;xxxx
+46 Stärke;1208;xxxx
+41 Ausdauer;1209;xxxx
+42 Ausdauer;1210;xxxx
+43 Ausdauer;1211;xxxx
+44 Ausdauer;1212;xxxx
+45 Ausdauer;1213;xxxx
+46 Ausdauer;1214;xxxx
+41 Beweglichkeit;1215;xxxx
+42 Beweglichkeit;1216;xxxx
+43 Beweglichkeit;1217;xxxx
+44 Beweglichkeit;1218;xxxx
+45 Beweglichkeit;1219;xxxx
+46 Beweglichkeit;1220;xxxx
+41 Intelligenz;1221;xxxx
+42 Intelligenz;1222;xxxx
+43 Intelligenz;1223;xxxx
+44 Intelligenz;1224;xxxx
+45 Intelligenz;1225;xxxx
+46 Intelligenz;1226;xxxx
+41 Willenskraft;1227;xxxx
+42 Willenskraft;1228;xxxx
+43 Willenskraft;1229;xxxx
+44 Willenskraft;1230;xxxx
+45 Willenskraft;1231;xxxx
+46 Willenskraft;1232;xxxx
+1 Arkanwiderstand;1243;xxxx
+2 Arkanwiderstand;1244;xxxx
+3 Arkanwiderstand;1245;xxxx
+4 Arkanwiderstand;1246;xxxx
+5 Arkanwiderstand;1247;xxxx
+6 Arkanwiderstand;1248;xxxx
+7 Arkanwiderstand;1249;xxxx
+8 Arkanwiderstand;1250;xxxx
+9 Arkanwiderstand;1251;xxxx
+10 Arkanwiderstand;1252;xxxx
+11 Arkanwiderstand;1253;xxxx
+12 Arkanwiderstand;1254;xxxx
+13 Arkanwiderstand;1255;xxxx
+14 Arkanwiderstand;1256;xxxx
+15 Arkanwiderstand;1257;xxxx
+16 Arkanwiderstand;1258;xxxx
+17 Arkanwiderstand;1259;xxxx
+18 Arkanwiderstand;1260;xxxx
+19 Arkanwiderstand;1261;xxxx
+20 Arkanwiderstand;1262;xxxx
+21 Arkanwiderstand;1263;xxxx
+22 Arkanwiderstand;1264;xxxx
+23 Arkanwiderstand;1265;xxxx
+24 Arkanwiderstand;1266;xxxx
+25 Arkanwiderstand;1267;xxxx
+26 Arkanwiderstand;1268;xxxx
+27 Arkanwiderstand;1269;xxxx
+28 Arkanwiderstand;1270;xxxx
+29 Arkanwiderstand;1271;xxxx
+30 Arkanwiderstand;1272;xxxx
+31 Arkanwiderstand;1273;xxxx
+32 Arkanwiderstand;1274;xxxx
+33 Arkanwiderstand;1275;xxxx
+34 Arkanwiderstand;1276;xxxx
+35 Arkanwiderstand;1277;xxxx
+36 Arkanwiderstand;1278;xxxx
+37 Arkanwiderstand;1279;xxxx
+38 Arkanwiderstand;1280;xxxx
+39 Arkanwiderstand;1281;xxxx
+40 Arkanwiderstand;1282;xxxx
+41 Arkanwiderstand;1283;xxxx
+42 Arkanwiderstand;1284;xxxx
+43 Arkanwiderstand;1285;xxxx
+44 Arkanwiderstand;1286;xxxx
+45 Arkanwiderstand;1287;xxxx
+46 Arkanwiderstand;1288;xxxx
+1 Frostwiderstand;1289;xxxx
+2 Frostwiderstand;1290;xxxx
+3 Frostwiderstand;1291;xxxx
+4 Frostwiderstand;1292;xxxx
+5 Frostwiderstand;1293;xxxx
+6 Frostwiderstand;1294;xxxx
+7 Frostwiderstand;1295;xxxx
+8 Frostwiderstand;1296;xxxx
+9 Frostwiderstand;1297;xxxx
+10 Frostwiderstand;1298;xxxx
+11 Frostwiderstand;1299;xxxx
+12 Frostwiderstand;1300;xxxx
+13 Frostwiderstand;1301;xxxx
+14 Frostwiderstand;1302;xxxx
+15 Frostwiderstand;1303;xxxx
+16 Frostwiderstand;1304;xxxx
+17 Frostwiderstand;1305;xxxx
+18 Frostwiderstand;1306;xxxx
+19 Frostwiderstand;1307;xxxx
+20 Frostwiderstand;1308;xxxx
+21 Frostwiderstand;1309;xxxx
+22 Frostwiderstand;1310;xxxx
+23 Frostwiderstand;1311;xxxx
+24 Frostwiderstand;1312;xxxx
+25 Frostwiderstand;1313;xxxx
+26 Frostwiderstand;1314;xxxx
+27 Frostwiderstand;1315;xxxx
+28 Frostwiderstand;1316;xxxx
+29 Frostwiderstand;1317;xxxx
+30 Frostwiderstand;1318;xxxx
+31 Frostwiderstand;1319;xxxx
+32 Frostwiderstand;1320;xxxx
+33 Frostwiderstand;1321;xxxx
+34 Frostwiderstand;1322;xxxx
+35 Frostwiderstand;1323;xxxx
+36 Frostwiderstand;1324;xxxx
+37 Frostwiderstand;1325;xxxx
+38 Frostwiderstand;1326;xxxx
+39 Frostwiderstand;1327;xxxx
+40 Frostwiderstand;1328;xxxx
+41 Frostwiderstand;1329;xxxx
+42 Frostwiderstand;1330;xxxx
+43 Frostwiderstand;1331;xxxx
+44 Frostwiderstand;1332;xxxx
+45 Frostwiderstand;1333;xxxx
+46 Frostwiderstand;1334;xxxx
+1 Feuerwiderstand;1335;xxxx
+2 Feuerwiderstand;1336;xxxx
+3 Feuerwiderstand;1337;xxxx
+4 Feuerwiderstand;1338;xxxx
+5 Feuerwiderstand;1339;xxxx
+6 Feuerwiderstand;1340;xxxx
+7 Feuerwiderstand;1341;xxxx
+8 Feuerwiderstand;1342;xxxx
+9 Feuerwiderstand;1343;xxxx
+10 Feuerwiderstand;1344;xxxx
+11 Feuerwiderstand;1345;xxxx
+12 Feuerwiderstand;1346;xxxx
+13 Feuerwiderstand;1347;xxxx
+14 Feuerwiderstand;1348;xxxx
+15 Feuerwiderstand;1349;xxxx
+16 Feuerwiderstand;1350;xxxx
+17 Feuerwiderstand;1351;xxxx
+18 Feuerwiderstand;1352;xxxx
+19 Feuerwiderstand;1353;xxxx
+20 Feuerwiderstand;1354;xxxx
+21 Feuerwiderstand;1355;xxxx
+22 Feuerwiderstand;1356;xxxx
+23 Feuerwiderstand;1357;xxxx
+24 Feuerwiderstand;1358;xxxx
+25 Feuerwiderstand;1359;xxxx
+26 Feuerwiderstand;1360;xxxx
+27 Feuerwiderstand;1361;xxxx
+28 Feuerwiderstand;1362;xxxx
+29 Feuerwiderstand;1363;xxxx
+30 Feuerwiderstand;1364;xxxx
+31 Feuerwiderstand;1365;xxxx
+32 Feuerwiderstand;1366;xxxx
+33 Feuerwiderstand;1367;xxxx
+34 Feuerwiderstand;1368;xxxx
+35 Feuerwiderstand;1369;xxxx
+36 Feuerwiderstand;1370;xxxx
+37 Feuerwiderstand;1371;xxxx
+38 Feuerwiderstand;1372;xxxx
+39 Feuerwiderstand;1373;xxxx
+40 Feuerwiderstand;1374;xxxx
+41 Feuerwiderstand;1375;xxxx
+42 Feuerwiderstand;1376;xxxx
+43 Feuerwiderstand;1377;xxxx
+44 Feuerwiderstand;1378;xxxx
+45 Feuerwiderstand;1379;xxxx
+46 Feuerwiderstand;1380;xxxx
+1 Naturwiderstand;1381;xxxx
+2 Naturwiderstand;1382;xxxx
+3 Naturwiderstand;1383;xxxx
+4 Naturwiderstand;1384;xxxx
