long;long;
39991;3444;xxxx
39990;3443;xxxx
39989;3442;xxxx
39988;3441;xxxx
39986;3440;xxxx
39985;3439;xxxx
39984;3438;xxxx
39983;3437;xxxx
39982;3436;xxxx
39981;3435;xxxx
39980;3434;xxxx
39979;3433;xxxx
39978;3432;xxxx
39977;3431;xxxx
39976;3430;xxxx
39975;3429;xxxx
39974;3428;xxxx
39968;3427;xxxx
39967;3421;xxxx
39966;3420;xxxx
39965;3419;xxxx
39964;3418;xxxx
39963;3426;xxxx
39962;3424;xxxx
39961;3423;xxxx
39960;3422;xxxx
39959;3417;xxxx
39958;3416;xxxx
39957;3415;xxxx
39956;3414;xxxx
39955;3413;xxxx
39954;3412;xxxx
39953;3406;xxxx
39952;3410;xxxx
39951;3409;xxxx
39950;3408;xxxx
39949;3407;xxxx
39948;3411;xxxx
39947;3405;xxxx
39946;3404;xxxx
39945;3403;xxxx
39944;3402;xxxx
39943;3401;xxxx
39942;3400;xxxx
39941;3399;xxxx
39940;3398;xxxx
39939;3397;xxxx
39938;3396;xxxx
39937;3395;xxxx
39936;3394;xxxx
39935;3393;xxxx
39934;3392;xxxx
39933;3391;xxxx
39932;3390;xxxx
39927;3389;xxxx
39920;3388;xxxx
39919;3387;xxxx
39918;3386;xxxx
39917;3385;xxxx
39916;3384;xxxx
39915;3383;xxxx
39914;3382;xxxx
39912;3381;xxxx
39911;3380;xxxx
39910;3379;xxxx
39909;3378;xxxx
39908;3377;xxxx
39907;3376;xxxx
39906;3375;xxxx
39905;3374;xxxx
39900;3371;xxxx
38550;3340;xxxx
38549;3339;xxxx
38548;3338;xxxx
38547;3337;xxxx
38546;3336;xxxx
38545;3335;xxxx
38538;3334;xxxx
38498;3333;xxxx
38292;3321;xxxx
37503;3318;xxxx
37430;3317;xxxx
36767;3293;xxxx
36766;3292;xxxx
35761;3287;xxxx
35760;3286;xxxx
35759;3285;xxxx
35758;3284;xxxx
35707;3280;xxxx
35503;3275;xxxx
35501;3274;xxxx
35489;3278;xxxx
35489;3283;xxxx
35488;3277;xxxx
35488;3282;xxxx
35487;3276;xxxx
35487;3281;xxxx
35318;3272;xxxx
35316;3271;xxxx
35315;3270;xxxx
34835;3324;xxxx
34831;3268;xxxx
34627;3264;xxxx
34256;3262;xxxx
34220;3261;xxxx
34143;3254;xxxx
34142;3242;xxxx
33782;3226;xxxx
33144;3221;xxxx
33143;3220;xxxx
33142;3219;xxxx
33141;3218;xxxx
33140;3217;xxxx
33139;3216;xxxx
33138;3215;xxxx
33137;3214;xxxx
33136;3213;xxxx
33135;3212;xxxx
33134;3211;xxxx
33133;3210;xxxx
33132;3209;xxxx
33131;3208;xxxx
33130;3207;xxxx
33060;3206;xxxx
32836;3202;xxxx
32833;3201;xxxx
32735;3197;xxxx
32641;3163;xxxx
32640;3162;xxxx
32639;3161;xxxx
32638;3160;xxxx
32637;3159;xxxx
32636;3158;xxxx
32635;3157;xxxx
32634;3156;xxxx
32410;3155;xxxx
32409;3154;xxxx
32226;3148;xxxx
32225;3147;xxxx
32224;3146;xxxx
32223;3145;xxxx
32222;3144;xxxx
32221;3143;xxxx
32220;3142;xxxx
32219;3141;xxxx
32218;3140;xxxx
32217;3139;xxxx
32216;3138;xxxx
32215;3137;xxxx
32214;3136;xxxx
32213;3135;xxxx
32212;3134;xxxx
32211;3133;xxxx
32210;3132;xxxx
32209;3131;xxxx
32208;3130;xxxx
32207;3129;xxxx
32206;3128;xxxx
32205;3127;xxxx
32204;3126;xxxx
32203;3125;xxxx
32202;3124;xxxx
32201;3123;xxxx
32200;3122;xxxx
32199;3121;xxxx
32198;3120;xxxx
32197;3119;xxxx
32196;3118;xxxx
32195;3117;xxxx
32194;3116;xxxx
32193;3115;xxxx
31869;3113;xxxx
31868;3112;xxxx
31867;3111;xxxx
31866;3110;xxxx
31865;3109;xxxx
31864;3108;xxxx
31863;3107;xxxx
31862;3106;xxxx
31861;3105;xxxx
31860;3104;xxxx
31118;3101;xxxx
31117;3100;xxxx
31116;3099;xxxx
30608;3091;xxxx
30607;3090;xxxx
30606;3089;xxxx
30605;3088;xxxx
30604;3087;xxxx
30603;3086;xxxx
30602;3085;xxxx
30601;3084;xxxx
30600;3083;xxxx
30598;3103;xxxx
30594;3082;xxxx
30593;3081;xxxx
30592;3080;xxxx
30591;3079;xxxx
30590;3078;xxxx
30589;3077;xxxx
30588;3076;xxxx
30587;3075;xxxx
30586;3074;xxxx
30585;3073;xxxx
30584;3072;xxxx
30583;3071;xxxx
30582;3070;xxxx
30581;3069;xxxx
30575;3068;xxxx
30574;3067;xxxx
30573;3066;xxxx
30572;3064;xxxx
30571;3065;xxxx
30566;3063;xxxx
30565;3062;xxxx
30564;3061;xxxx
30563;3060;xxxx
30562;3059;xxxx
30560;3058;xxxx
30559;3057;xxxx
30558;3056;xxxx
30556;3055;xxxx
30555;3054;xxxx
30554;3053;xxxx
30553;3052;xxxx
30552;3051;xxxx
30551;3050;xxxx
30550;3049;xxxx
30549;3048;xxxx
30548;3047;xxxx
30547;3046;xxxx
30546;3045;xxxx
28595;2971;xxxx
28557;2970;xxxx
28556;2969;xxxx
28470;2968;xxxx
28469;2967;xxxx
28468;2966;xxxx
28467;2965;xxxx
28466;2964;xxxx
28465;2963;xxxx
28464;2962;xxxx
28463;2961;xxxx
28462;2960;xxxx
28461;2959;xxxx
28460;2958;xxxx
28459;2957;xxxx
28458;2956;xxxx
28389;2950;xxxx
28388;2949;xxxx
28363;2946;xxxx
28362;2945;xxxx
28361;2944;xxxx
28360;2943;xxxx
28290;2942;xxxx
28123;2916;xxxx
28122;2915;xxxx
28120;2914;xxxx
28119;2913;xxxx
28118;2912;xxxx
28117;2911;xxxx
27864;2917;xxxx
27820;2923;xxxx
27812;2924;xxxx
27811;2922;xxxx
27809;2921;xxxx
27786;2899;xxxx
27786;2918;xxxx
27785;2898;xxxx
27782;2897;xxxx
27777;2896;xxxx
27774;2894;xxxx
27679;2891;xxxx
25901;2835;xxxx
25899;2834;xxxx
25898;2833;xxxx
25897;2832;xxxx
25896;2831;xxxx
25895;2830;xxxx
25894;2829;xxxx
25893;2828;xxxx
25890;2827;xxxx
24067;2758;xxxx
24066;2763;xxxx
24065;2744;xxxx
24062;2743;xxxx
24061;2756;xxxx
24060;2742;xxxx
24059;2761;xxxx
24058;2753;xxxx
24057;2741;xxxx
24056;2740;xxxx
24055;2739;xxxx
24054;2738;xxxx
24053;2759;xxxx
24052;2737;xxxx
24051;2764;xxxx
24050;2736;xxxx
24048;2735;xxxx
24047;2734;xxxx
24039;2765;xxxx
24037;2733;xxxx
24036;2754;xxxx
24035;2732;xxxx
24033;2731;xxxx
24032;2730;xxxx
24031;2729;xxxx
24030;2728;xxxx
24029;2727;xxxx
24028;2726;xxxx
24027;2725;xxxx
23366;2704;xxxx
23364;2703;xxxx
23359;2689;xxxx
23235;2688;xxxx
23234;2687;xxxx
23233;2686;xxxx
23121;2701;xxxx
23120;2700;xxxx
23119;2699;xxxx
23118;2698;xxxx
23116;2697;xxxx
23115;2696;xxxx
23114;2695;xxxx
23113;2694;xxxx
23111;2711;xxxx
23110;2710;xxxx
23109;2709;xxxx
23108;2708;xxxx
23106;2707;xxxx
23105;2706;xxxx
23104;2757;xxxx
23103;2762;xxxx
23101;2760;xxxx
23100;2755;xxxx
23099;2705;xxxx
23098;2752;xxxx
23097;2693;xxxx
23096;2692;xxxx
23095;2691;xxxx
23094;2690;xxxx
22460;2947;xxxx
22459;2948;xxxx
