long;str;
132;+1 Zweihandschwertfertigkeit;xxxx
133;+2 Zweihandschwertfertigkeit;xxxx
134;+3 Zweihandschwertfertigkeit;xxxx
135;+4 Zweihandschwertfertigkeit;xxxx
136;+5 Zweihandschwertfertigkeit;xxxx
137;+6 Zweihandschwertfertigkeit;xxxx
138;+7 Zweihandschwertfertigkeit;xxxx
139;+1 Streitkolbenfertigkeit;xxxx
140;+2 Streitkolbenfertigkeit;xxxx
141;+3 Streitkolbenfertigkeit;xxxx
142;+4 Streitkolbenfertigkeit;xxxx
143;+5 Streitkolbenfertigkeit;xxxx
144;+6 Streitkolbenfertigkeit;xxxx
145;+7 Streitkolbenfertigkeit;xxxx
146;+1 Zweihandstreitkolbenfertigkeit;xxxx
147;+2 Zweihandstreitkolbenfertigkeit;xxxx
148;+3 Zweihandstreitkolbenfertigkeit;xxxx
149;+4 Zweihandstreitkolbenfertigkeit;xxxx
150;+5 Zweihandstreitkolbenfertigkeit;xxxx
151;+6 Zweihandstreitkolbenfertigkeit;xxxx
152;+7 Zweihandstreitkolbenfertigkeit;xxxx
153;+1 Axtfertigkeit;xxxx
154;+2 Axtfertigkeit;xxxx
155;+3 Axtfertigkeit;xxxx
156;+4 Axtfertigkeit;xxxx
157;+5 Axtfertigkeit;xxxx
158;+6 Axtfertigkeit;xxxx
159;+7 Axtfertigkeit;xxxx
160;+1 Zweihandaxtfertigkeit;xxxx
161;+2 Zweihandaxtfertigkeit;xxxx
162;+3 Zweihandaxtfertigkeit;xxxx
163;+4 Zweihandaxtfertigkeit;xxxx
164;+5 Zweihandaxtfertigkeit;xxxx
165;+6 Zweihandaxtfertigkeit;xxxx
166;+7 Zweihandaxtfertigkeit;xxxx
167;+1 Dolchfertigkeit;xxxx
168;+2 Dolchfertigkeit;xxxx
169;+3 Dolchfertigkeit;xxxx
170;+4 Dolchfertigkeit;xxxx
171;+5 Dolchfertigkeit;xxxx
172;+6 Dolchfertigkeit;xxxx
173;+7 Dolchfertigkeit;xxxx
174;+1 Schusswaffenfertigkeit;xxxx
175;+2 Schusswaffenfertigkeit;xxxx
176;+3 Schusswaffenfertigkeit;xxxx
177;+4 Schusswaffenfertigkeit;xxxx
178;+5 Schusswaffenfertigkeit;xxxx
179;+6 Schusswaffenfertigkeit;xxxx
180;+7 Schusswaffenfertigkeit;xxxx
181;+1 Bogenfertigkeit;xxxx
182;+2 Bogenfertigkeit;xxxx
183;+3 Bogenfertigkeit;xxxx
184;+4 Bogenfertigkeit;xxxx
185;+5 Bogenfertigkeit;xxxx
186;+6 Bogenfertigkeit;xxxx
187;+7 Bogenfertigkeit;xxxx
188;+2 Wildtiertötung;xxxx
189;+4 Wildtiertötung;xxxx
190;+6 Wildtiertötung;xxxx
191;+8 Wildtiertötung;xxxx
192;+10 Wildtiertötung;xxxx
193;+12 Wildtiertötung;xxxx
194;+14 Wildtiertötung;xxxx
195;+14 Kritische Trefferwertung;xxxx
196;+28 Kritische Trefferwertung;xxxx
197;+42 Kritische Trefferwertung;xxxx
198;+56 Kritische Trefferwertung;xxxx
199;10% bei getroffen werden: Schattenblitz (10 Schaden);xxxx
200;10% bei getroffen werden: Schattenblitz (20 Schaden);xxxx
201;10% bei getroffen werden: Schattenblitz (30 Schaden);xxxx
202;10% bei getroffen werden: Schattenblitz (40 Schaden);xxxx
203;10% bei getroffen werden: Schattenblitz (50 Schaden);xxxx
204;10% bei getroffen werden: Schattenblitz (60 Schaden);xxxx
205;10% bei getroffen werden: Schattenblitz (70 Schaden);xxxx
206;+1 Zaubermacht;xxxx
207;+2 Zaubermacht;xxxx
208;+4 Zaubermacht;xxxx
209;+5 Zaubermacht;xxxx
210;+6 Zaubermacht;xxxx
211;+7 Zaubermacht;xxxx
212;+8 Zaubermacht;xxxx
213;+1 Feuerzauberschaden;xxxx
214;+3 Feuerzauberschaden;xxxx
215;+4 Feuerzauberschaden;xxxx
216;+6 Feuerzauberschaden;xxxx
217;+7 Feuerzauberschaden;xxxx
218;+9 Feuerzauberschaden;xxxx
219;+10 Feuerzauberschaden;xxxx
220;+1 Naturzauberschaden;xxxx
221;+3 Naturzauberschaden;xxxx
222;+4 Naturzauberschaden;xxxx
223;+6 Naturzauberschaden;xxxx
224;+7 Naturzauberschaden;xxxx
225;+9 Naturzauberschaden;xxxx
226;+10 Naturzauberschaden;xxxx
227;+1 Frostzauberschaden;xxxx
228;+3 Frostzauberschaden;xxxx
229;+4 Frostzauberschaden;xxxx
230;+6 Frostzauberschaden;xxxx
231;+7 Frostzauberschaden;xxxx
232;+9 Frostzauberschaden;xxxx
233;+10 Frostzauberschaden;xxxx
234;+1 Schattenzauberschaden;xxxx
235;+3 Schattenzauberschaden;xxxx
236;+4 Schattenzauberschaden;xxxx
237;+6 Schattenzauberschaden;xxxx
238;+7 Schattenzauberschaden;xxxx
239;+9 Schattenzauberschaden;xxxx
240;+10 Schattenzauberschaden;xxxx
241;+2 Waffenschaden;xxxx
242;+15 Gesundheit;xxxx
243;+1 Willenskraft;xxxx
244;+4 Intelligenz;xxxx
245;+5 Rüstung;xxxx
246;+20 Mana;xxxx
247;+1 Beweglichkeit;xxxx
248;+1 Stärke;xxxx
249;+2 Wildtiertötung;xxxx
250;+1 Waffenschaden;xxxx
251;+1 Intelligenz;xxxx
252;+6 Willenskraft;xxxx
253;Absorption (50);xxxx
254;+25 Gesundheit;xxxx
255;+3 Willenskraft;xxxx
256;+5 Feuerwiderstand;xxxx
257;+10 Rüstung;xxxx
263;Angelköder (+25 Angelfertigkeit);xxxx
264;Angelköder (+50 Angelfertigkeit);xxxx
265;Angelköder (+75 Angelfertigkeit);xxxx
266;Angelköder (+100 Angelfertigkeit);xxxx
283;Windzorn;xxxx
284;Windzorn 2;xxxx
285;Totem der Flammenzunge 2;xxxx
286;+2 Waffenfeuerschaden;xxxx
287;+4 Waffenfeuerschaden;xxxx
288;+6 Waffenfeuerschaden;xxxx
289;+8 Waffenfeuerschaden;xxxx
290;+10 Waffenfeuerschaden;xxxx
291;+12 Waffenfeuerschaden;xxxx
292;+14 Waffenfeuerschaden;xxxx
303;Feuerkugel;xxxx
323;Sofort wirkendes Gift;xxxx
324;Sofort wirkendes Gift II;xxxx
325;Sofort wirkendes Gift III;xxxx
343;+8 Beweglichkeit;xxxx
344;+32 Rüstung;xxxx
345;+40 Rüstung;xxxx
346;+36 Rüstung;xxxx
347;+44 Rüstung;xxxx
348;+48 Rüstung;xxxx
349;+9 Beweglichkeit;xxxx
350;+8 Intelligenz;xxxx
351;+8 Willenskraft;xxxx
352;+8 Stärke;xxxx
353;+8 Ausdauer;xxxx
354;+9 Intelligenz;xxxx
355;+9 Willenskraft;xxxx
356;+9 Ausdauer;xxxx
357;+9 Stärke;xxxx
358;+10 Beweglichkeit;xxxx
359;+10 Intelligenz;xxxx
360;+10 Willenskraft;xxxx
361;+10 Ausdauer;xxxx
362;+10 Stärke;xxxx
363;+11 Beweglichkeit;xxxx
364;+11 Intelligenz;xxxx
365;+11 Willenskraft;xxxx
366;+11 Ausdauer;xxxx
367;+11 Stärke;xxxx
368;+12 Beweglichkeit;xxxx
369;+12 Intelligenz;xxxx
370;+12 Willenskraft;xxxx
371;+12 Ausdauer;xxxx
372;+12 Stärke;xxxx
383;+52 Rüstung;xxxx
384;+56 Rüstung;xxxx
385;+60 Rüstung;xxxx
386;+16 Rüstung;xxxx
387;+17 Rüstung;xxxx
388;+18 Rüstung;xxxx
389;+19 Rüstung;xxxx
403;+13 Beweglichkeit;xxxx
404;+14 Beweglichkeit;xxxx
405;+13 Intelligenz;xxxx
406;+14 Intelligenz;xxxx
407;+13 Willenskraft;xxxx
408;+14 Willenskraft;xxxx
409;+13 Ausdauer;xxxx
410;+13 Stärke;xxxx
411;+14 Ausdauer;xxxx
412;+14 Stärke;xxxx
423;+1 Zaubermacht;xxxx
424;+2 Zaubermacht;xxxx
425;Black Temple Dummy;xxxx
426;+5 Zaubermacht;xxxx
427;+6 Zaubermacht;xxxx
428;+7 Zaubermacht;xxxx
429;+8 Zaubermacht;xxxx
430;+9 Zaubermacht;xxxx
431;+11 Zaubermacht;xxxx
432;+12 Zaubermacht;xxxx
433;+11 Feuerzauberschaden;xxxx
434;+13 Feuerzauberschaden;xxxx
435;+14 Feuerzauberschaden;xxxx
436;+70 Kritische Trefferwertung;xxxx
437;+11 Frostzauberschaden;xxxx
438;+13 Frostzauberschaden;xxxx
439;+14 Frostzauberschaden;xxxx
440;+9 Zaubermacht;xxxx
441;+11 Zaubermacht;xxxx
442;+12 Zaubermacht;xxxx
443;+11 Naturzauberschaden;xxxx
444;+13 Naturzauberschaden;xxxx
445;+14 Naturzauberschaden;xxxx
446;+11 Schattenzauberschaden;xxxx
447;+13 Schattenzauberschaden;xxxx
448;+14 Schattenzauberschaden;xxxx
463;Mithrilstachel (16-20);xxxx
464;+4% Reittiertempo;xxxx
483;Geschärft (+6 Schaden);xxxx
484;Beschwert (+6 Schaden);xxxx
503;Felsbeißer 4;xxxx
504;+80 Felsbeißer;xxxx
523;Flammenzunge 4;xxxx
524;Frostbrand 3;xxxx
525;Windzorn 3;xxxx
543;Totem der Flammenzunge 3;xxxx
563;Totem des Windzorns 2;xxxx
564;Totem des Windzorns 3;xxxx
583;+1 Beweglichkeit / +1 Willenskraft;xxxx
584;+1 Beweglichkeit / +1 Intelligenz;xxxx
585;+1 Beweglichkeit / +1 Ausdauer;xxxx
586;+1 Beweglichkeit / +1 Stärke;xxxx
587;+1 Intelligenz / +1 Willenskraft;xxxx
588;+1 Intelligenz / +1 Ausdauer;xxxx
589;+1 Intelligenz / +1 Stärke;xxxx
590;+1 Willenskraft / +1 Ausdauer;xxxx
591;+1 Willenskraft / +1 Stärke;xxxx
592;+1 Ausdauer / +1 Stärke;xxxx
603;Verkrüppelungsgift II;xxxx
623;Sofort wirkendes Gift IV;xxxx
624;Sofort wirkendes Gift V;xxxx
625;Sofort wirkendes Gift VI;xxxx
626;Tödliches Gift III;xxxx
627;Tödliches Gift IV;xxxx
643;Gedankenbenebelndes Gift III;xxxx
663;Zielfernrohr (+5 Schaden);xxxx
664;Zielfernrohr (+7 Schaden);xxxx
683;Felsbeißer 6;xxxx
684;+15 Stärke;xxxx
703;Wundgift;xxxx
704;Wundgift II;xxxx
705;Wundgift III;xxxx
706;Wundgift IV;xxxx
723;+3 Intelligenz;xxxx
724;+3 Ausdauer;xxxx
743;+2 Verstohlenheit;xxxx
744;+20 Rüstung;xxxx
763;+5 Blockwertung;xxxx
783;+10 Rüstung;xxxx
803;Feurige Waffe;xxxx
804;+10 Schattenwiderstand;xxxx
805;+4 Waffenschaden;xxxx
823;+3 Stärke;xxxx
843;+30 Mana;xxxx
844;+2 Bergbau;xxxx
845;+2 Kräuterkunde;xxxx
846;+5 Angeln;xxxx
847;+1 alle Werte;xxxx
848;+30 Rüstung;xxxx
849;+3 Beweglichkeit;xxxx
850;+35 Gesundheit;xxxx
851;+5 Willenskraft;xxxx
852;+5 Ausdauer;xxxx
853;+6 Wildtiertötung;xxxx
854;+6 Elementartöter;xxxx
855;+5 Feuerwiderstand;xxxx
856;+5 Stärke;xxxx
857;+50 Mana;xxxx
863;+10 Parierwertung;xxxx
864;+4 Waffenschaden;xxxx
865;+5 Kürschnerei;xxxx
866;+2 alle Werte;xxxx
883;+15 Beweglichkeit;xxxx
884;+50 Rüstung;xxxx
903;+3 alle Widerstandsarten;xxxx
904;+5 Beweglichkeit;xxxx
905;+5 Intelligenz;xxxx
906;+5 Bergbau;xxxx
907;+7 Willenskraft;xxxx
908;+50 Gesundheit;xxxx
909;+5 Kräuterkunde;xxxx
910;+8 Beweglichkeit und +8 Ausweichwertung;xxxx
911;Schwache Temposteigerung;xxxx
912;Dämonentöten;xxxx
913;+65 Mana;xxxx
923;+5 Ausweichwertung;xxxx
924;+2 Ausweichwertung;xxxx
925;+3 Ausweichwertung;xxxx
926;+8 Frostwiderstand;xxxx
927;+7 Stärke;xxxx
928;+3 alle Werte;xxxx
929;+7 Ausdauer;xxxx
930;+2% Reittiertempo;xxxx
931;+10 Tempowertung;xxxx
943;+3 Waffenschaden;xxxx
963;+7 Waffenschaden;xxxx
983;+16 Beweglichkeit;xxxx
1003;Gifthautsekret;xxxx
1023;Rückkopplung 1;xxxx
1043;+16 Stärke;xxxx
1044;+17 Stärke;xxxx
1045;+18 Stärke;xxxx
1046;+19 Stärke;xxxx
1047;+20 Stärke;xxxx
1048;+21 Stärke;xxxx
1049;+22 Stärke;xxxx
1050;+23 Stärke;xxxx
1051;+24 Stärke;xxxx
1052;+25 Stärke;xxxx
1053;+26 Stärke;xxxx
1054;+27 Stärke;xxxx
1055;+28 Stärke;xxxx
1056;+29 Stärke;xxxx
1057;+30 Stärke;xxxx
1058;+31 Stärke;xxxx
1059;+32 Stärke;xxxx
1060;+33 Stärke;xxxx
1061;+34 Stärke;xxxx
1062;+35 Stärke;xxxx
1063;+36 Stärke;xxxx
1064;+37 Stärke;xxxx
1065;+38 Stärke;xxxx
1066;+39 Stärke;xxxx
1067;+40 Stärke;xxxx
1068;+15 Ausdauer;xxxx
1069;+16 Ausdauer;xxxx
1070;+17 Ausdauer;xxxx
1071;+18 Ausdauer;xxxx
1072;+19 Ausdauer;xxxx
1073;+20 Ausdauer;xxxx
1074;+21 Ausdauer;xxxx
1075;+22 Ausdauer;xxxx
1076;+23 Ausdauer;xxxx
1077;+24 Ausdauer;xxxx
1078;+25 Ausdauer;xxxx
1079;+26 Ausdauer;xxxx
1080;+27 Ausdauer;xxxx
1081;+28 Ausdauer;xxxx
1082;+29 Ausdauer;xxxx
1083;+30 Ausdauer;xxxx
1084;+31 Ausdauer;xxxx
1085;+32 Ausdauer;xxxx
1086;+33 Ausdauer;xxxx
1087;+34 Ausdauer;xxxx
1088;+35 Ausdauer;xxxx
1089;+36 Ausdauer;xxxx
1090;+37 Ausdauer;xxxx
1091;+38 Ausdauer;xxxx
1092;+39 Ausdauer;xxxx
1093;+40 Ausdauer;xxxx
1094;+17 Beweglichkeit;xxxx
1095;+18 Beweglichkeit;xxxx
1096;+19 Beweglichkeit;xxxx
1097;+20 Beweglichkeit;xxxx
1098;+21 Beweglichkeit;xxxx
1099;+22 Beweglichkeit;xxxx
1100;+23 Beweglichkeit;xxxx
1101;+24 Beweglichkeit;xxxx
1102;+25 Beweglichkeit;xxxx
1103;+26 Beweglichkeit;xxxx
1104;+27 Beweglichkeit;xxxx
1105;+28 Beweglichkeit;xxxx
1106;+29 Beweglichkeit;xxxx
1107;+30 Beweglichkeit;xxxx
1108;+31 Beweglichkeit;xxxx
1109;+32 Beweglichkeit;xxxx
1110;+33 Beweglichkeit;xxxx
1111;+34 Beweglichkeit;xxxx
1112;+35 Beweglichkeit;xxxx
1113;+36 Beweglichkeit;xxxx
1114;+37 Beweglichkeit;xxxx
1115;+38 Beweglichkeit;xxxx
1116;+39 Beweglichkeit;xxxx
1117;+40 Beweglichkeit;xxxx
1118;+15 Intelligenz;xxxx
1119;+16 Intelligenz;xxxx
1120;+17 Intelligenz;xxxx
1121;+18 Intelligenz;xxxx
1122;+19 Intelligenz;xxxx
1123;+20 Intelligenz;xxxx
1124;+21 Intelligenz;xxxx
1125;+22 Intelligenz;xxxx
1126;+23 Intelligenz;xxxx
1127;+24 Intelligenz;xxxx
1128;+25 Intelligenz;xxxx
1129;+26 Intelligenz;xxxx
1130;+27 Intelligenz;xxxx
1131;+28 Intelligenz;xxxx
1132;+29 Intelligenz;xxxx
1133;+30 Intelligenz;xxxx
1134;+31 Intelligenz;xxxx
1135;+32 Intelligenz;xxxx
1136;+33 Intelligenz;xxxx
1137;+34 Intelligenz;xxxx
1138;+35 Intelligenz;xxxx
1139;+36 Intelligenz;xxxx
1140;+37 Intelligenz;xxxx
1141;+38 Intelligenz;xxxx
1142;+39 Intelligenz;xxxx
1143;+40 Intelligenz;xxxx
1144;+15 Willenskraft;xxxx
1145;+16 Willenskraft;xxxx
1146;+17 Willenskraft;xxxx
1147;+18 Willenskraft;xxxx
1148;+19 Willenskraft;xxxx
1149;+20 Willenskraft;xxxx
1150;+21 Willenskraft;xxxx
1151;+22 Willenskraft;xxxx
1152;+23 Willenskraft;xxxx
1153;+24 Willenskraft;xxxx
1154;+25 Willenskraft;xxxx
1155;+26 Willenskraft;xxxx
1156;+27 Willenskraft;xxxx
1157;+28 Willenskraft;xxxx
1158;+29 Willenskraft;xxxx
1159;+30 Willenskraft;xxxx
1160;+31 Willenskraft;xxxx
1161;+32 Willenskraft;xxxx
1162;+33 Willenskraft;xxxx
1163;+34 Willenskraft;xxxx
1164;+36 Willenskraft;xxxx
1165;+37 Willenskraft;xxxx
1166;+38 Willenskraft;xxxx
1167;+39 Willenskraft;xxxx
1168;+40 Willenskraft;xxxx
1183;+35 Willenskraft;xxxx
1203;+41 Stärke;xxxx
1204;+42 Stärke;xxxx
1205;+43 Stärke;xxxx
1206;+44 Stärke;xxxx
1207;+45 Stärke;xxxx
1208;+46 Stärke;xxxx
1209;+41 Ausdauer;xxxx
1210;+42 Ausdauer;xxxx
1211;+43 Ausdauer;xxxx
1212;+44 Ausdauer;xxxx
1213;+45 Ausdauer;xxxx
1214;+46 Ausdauer;xxxx
1215;+41 Beweglichkeit;xxxx
1216;+42 Beweglichkeit;xxxx
1217;+43 Beweglichkeit;xxxx
1218;+44 Beweglichkeit;xxxx
1219;+45 Beweglichkeit;xxxx
1220;+46 Beweglichkeit;xxxx
1221;+41 Intelligenz;xxxx
1222;+42 Intelligenz;xxxx
1223;+43 Intelligenz;xxxx
1224;+44 Intelligenz;xxxx
1225;+45 Intelligenz;xxxx
1226;+46 Intelligenz;xxxx
1227;+41 Willenskraft;xxxx
1228;+42 Willenskraft;xxxx
1229;+43 Willenskraft;xxxx
1230;+44 Willenskraft;xxxx
1231;+45 Willenskraft;xxxx
1232;+46 Willenskraft;xxxx
1243;+1 Arkanwiderstand;xxxx
1244;+2 Arkanwiderstand;xxxx
1245;+3 Arkanwiderstand;xxxx
1246;+4 Arkanwiderstand;xxxx
1247;+5 Arkanwiderstand;xxxx
1248;+6 Arkanwiderstand;xxxx
1249;+7 Arkanwiderstand;xxxx
1250;+8 Arkanwiderstand;xxxx
1251;+9 Arkanwiderstand;xxxx
1252;+10 Arkanwiderstand;xxxx
1253;+11 Arkanwiderstand;xxxx
1254;+12 Arkanwiderstand;xxxx
1255;+13 Arkanwiderstand;xxxx
1256;+14 Arkanwiderstand;xxxx
1257;+15 Arkanwiderstand;xxxx
1258;+16 Arkanwiderstand;xxxx
1259;+17 Arkanwiderstand;xxxx
1260;+18 Arkanwiderstand;xxxx
1261;+19 Arkanwiderstand;xxxx
1262;+20 Arkanwiderstand;xxxx
1263;+21 Arkanwiderstand;xxxx
1264;+22 Arkanwiderstand;xxxx
1265;+23 Arkanwiderstand;xxxx
1266;+24 Arkanwiderstand;xxxx
1267;+25 Arkanwiderstand;xxxx
1268;+26 Arkanwiderstand;xxxx
1269;+27 Arkanwiderstand;xxxx
1270;+28 Arkanwiderstand;xxxx
1271;+29 Arkanwiderstand;xxxx
1272;+30 Arkanwiderstand;xxxx
1273;+31 Arkanwiderstand;xxxx
1274;+32 Arkanwiderstand;xxxx
1275;+33 Arkanwiderstand;xxxx
1276;+34 Arkanwiderstand;xxxx
1277;+35 Arkanwiderstand;xxxx
1278;+36 Arkanwiderstand;xxxx
1279;+37 Arkanwiderstand;xxxx
1280;+38 Arkanwiderstand;xxxx
1281;+39 Arkanwiderstand;xxxx
1282;+40 Arkanwiderstand;xxxx
1283;+41 Arkanwiderstand;xxxx
1284;+42 Arkanwiderstand;xxxx
1285;+43 Arkanwiderstand;xxxx
1286;+44 Arkanwiderstand;xxxx
1287;+45 Arkanwiderstand;xxxx
1288;+46 Arkanwiderstand;xxxx
1289;+1 Frostwiderstand;xxxx
1290;+2 Frostwiderstand;xxxx
1291;+3 Frostwiderstand;xxxx
1292;+4 Frostwiderstand;xxxx
1293;+5 Frostwiderstand;xxxx
1294;+6 Frostwiderstand;xxxx
1295;+7 Frostwiderstand;xxxx
1296;+8 Frostwiderstand;xxxx
1297;+9 Frostwiderstand;xxxx
1298;+10 Frostwiderstand;xxxx
1299;+11 Frostwiderstand;xxxx
1300;+12 Frostwiderstand;xxxx
1301;+13 Frostwiderstand;xxxx
1302;+14 Frostwiderstand;xxxx
1303;+15 Frostwiderstand;xxxx
1304;+16 Frostwiderstand;xxxx
1305;+17 Frostwiderstand;xxxx
1306;+18 Frostwiderstand;xxxx
1307;+19 Frostwiderstand;xxxx
1308;+20 Frostwiderstand;xxxx
1309;+21 Frostwiderstand;xxxx
1310;+22 Frostwiderstand;xxxx
1311;+23 Frostwiderstand;xxxx
1312;+24 Frostwiderstand;xxxx
1313;+25 Frostwiderstand;xxxx
1314;+26 Frostwiderstand;xxxx
1315;+27 Frostwiderstand;xxxx
1316;+28 Frostwiderstand;xxxx
1317;+29 Frostwiderstand;xxxx
1318;+30 Frostwiderstand;xxxx
1319;+31 Frostwiderstand;xxxx
1320;+32 Frostwiderstand;xxxx
1321;+33 Frostwiderstand;xxxx
1322;+34 Frostwiderstand;xxxx
1323;+35 Frostwiderstand;xxxx
1324;+36 Frostwiderstand;xxxx
1325;+37 Frostwiderstand;xxxx
1326;+38 Frostwiderstand;xxxx
1327;+39 Frostwiderstand;xxxx
1328;+40 Frostwiderstand;xxxx
1329;+41 Frostwiderstand;xxxx
1330;+42 Frostwiderstand;xxxx
1331;+43 Frostwiderstand;xxxx
1332;+44 Frostwiderstand;xxxx
1333;+45 Frostwiderstand;xxxx
1334;+46 Frostwiderstand;xxxx
1335;+1 Feuerwiderstand;xxxx
1336;+2 Feuerwiderstand;xxxx
1337;+3 Feuerwiderstand;xxxx
1338;+4 Feuerwiderstand;xxxx
1339;+5 Feuerwiderstand;xxxx
1340;+6 Feuerwiderstand;xxxx
1341;+7 Feuerwiderstand;xxxx
1342;+8 Feuerwiderstand;xxxx
1343;+9 Feuerwiderstand;xxxx
1344;+10 Feuerwiderstand;xxxx
1345;+11 Feuerwiderstand;xxxx
1346;+12 Feuerwiderstand;xxxx
1347;+13 Feuerwiderstand;xxxx
1348;+14 Feuerwiderstand;xxxx
1349;+15 Feuerwiderstand;xxxx
1350;+16 Feuerwiderstand;xxxx
1351;+17 Feuerwiderstand;xxxx
1352;+18 Feuerwiderstand;xxxx
1353;+19 Feuerwiderstand;xxxx
1354;+20 Feuerwiderstand;xxxx
1355;+21 Feuerwiderstand;xxxx
1356;+22 Feuerwiderstand;xxxx
1357;+23 Feuerwiderstand;xxxx
1358;+24 Feuerwiderstand;xxxx
1359;+25 Feuerwiderstand;xxxx
1360;+26 Feuerwiderstand;xxxx
1361;+27 Feuerwiderstand;xxxx
1362;+28 Feuerwiderstand;xxxx
1363;+29 Feuerwiderstand;xxxx
1364;+30 Feuerwiderstand;xxxx
1365;+31 Feuerwiderstand;xxxx
1366;+32 Feuerwiderstand;xxxx
1367;+33 Feuerwiderstand;xxxx
1368;+34 Feuerwiderstand;xxxx
1369;+35 Feuerwiderstand;xxxx
1370;+36 Feuerwiderstand;xxxx
1371;+37 Feuerwiderstand;xxxx
1372;+38 Feuerwiderstand;xxxx
1373;+39 Feuerwiderstand;xxxx
1374;+40 Feuerwiderstand;xxxx
1375;+41 Feuerwiderstand;xxxx
1376;+42 Feuerwiderstand;xxxx
1377;+43 Feuerwiderstand;xxxx
1378;+44 Feuerwiderstand;xxxx
1379;+45 Feuerwiderstand;xxxx
1380;+46 Feuerwiderstand;xxxx
1381;+1 Naturwiderstand;xxxx
1382;+2 Naturwiderstand;xxxx
1383;+3 Naturwiderstand;xxxx
1384;+4 Naturwiderstand;xxxx
1385;+5 Naturwiderstand;xxxx
